ID_DISCENTE,SEXO,ESTADO_CIVIL,DATA_NASCIMENTO,RACA_COR,DEFICIENCIA,NATURALIDADE,UF_NATURALIDADE,DESCR_BAIRRO,CIDADE_END,UF_CIDADE_END,FORMA_INGRESSO,COD_CURSO,CURSO,ANO_INGRESSO,PERIODO_INGRESSO
105388,F,Solteiro(a),22/04/1987,Parda,Sem Deficiência,PORTO VELHO,RO,COMPENSA 3,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2018,1
91517,M,Solteiro(a),05/05/1995,Branca,Sem Deficiência,BELEM,PA,RAIZ,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2018,1
105387,M,Casado(a),20/02/1968,Branca,Sem Deficiência,MANACAPURU,AM,COMPENSA 1,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2018,1
99908,F,Solteiro(a),05/02/1996,Branca,Sem Deficiência,MANAUS,AM,CRESPO,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2019,1
106358,F,Solteiro(a),15/06/1997,Branca,Sem Deficiência,MANAUS,AM,CRESPO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
106810,F,Solteiro(a),04/07/1997,Branca,Sem Deficiência,MANAUS,AM,NOVO ALEIXO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
108217,M,Solteiro(a),05/11/1997,Parda,Sem Deficiência,ANAMA,AM,LAGO AZUL,MANAUS,AM,Processo Seletivo Mestrado,PPG-ECIM,Mestrado em Ensino de Ciências e Matemática,2019,1
83325,M,Solteiro(a),19/09/1994,Parda,Sem Deficiência,MANAUS,AM,ZUMBI DOS PALMARES,MANAUS,AM,Processo Seletivo Mestrado,PPG-FIS-M,Mestrado em Física,2019,1
83325,M,Solteiro(a),19/09/1994,Parda,Sem Deficiência,MANAUS,AM,ZUMBI DOS PALMARES,MANAUS,AM,Processo Seletivo Mestrado,PPG-FIS-M,Mestrado em Física,2019,1
108668,M,Solteiro(a),13/12/1996,Parda,Sem Deficiência,MANAUS,AM,COROADO,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2019,1
48336,F,Solteiro(a),06/09/1989,Parda,Sem Deficiência,MANAUS,AM,COLONIA OLIVEIRA MACHADO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
106120,M,Solteiro(a),08/08/1995,Parda,Sem Deficiência,MANAUS,AM,ADRIANPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-IMU-M,Mestrado em Imunologia Básica e Aplicada,2019,1
109275,F,Solteiro(a),22/11/1997,Parda,Sem Deficiência,MANAUS,AM,CIDADE NOVA 4,MANAUS,AM,Processo Seletivo Mestrado,PPG-CEM-M,Mestrado em Ciência e Engenharia de Materiais,2019,2
47474,M,Solteiro(a),21/07/1989,Parda,Sem Deficiência,MANAUS,AM,ALEIXO,MANAUS,AM,Processo Seletivo Mestrado,PPG-DES-M,Mestrado em Design,2018,2
113851,M,Solteiro(a),01/03/1984,Branca,,CAMPO GRANDE,MS,PONTA NEGRA,MANAUS,AM,Processo Seletivo Mestrado,PPG-CIS-M,Mestrado em Ciências da Saúde,2018,1
57080,F,Solteiro(a),18/12/1983,Negra,,CORUMBA,MS,ALVORADA 2,MANAUS,AM,Processo Seletivo Doutorado,PPG-ANS-D,Doutorado em Antropologia Social,2016,1
138540,F,Solteiro(a),07/08/1986,Negra,,Mocuba,MOZ,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-CARP-M,Mestrado em Ciência Animal e Recursos Pesqueiros,2019,1
139977,M,Solteiro(a),25/10/1983,Negra,,ZAVALA,MOZ,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,1
